date,blood_group,units_demanded
2006-01-01,A,143
2006-01-01,AB,38
2006-01-01,B,145
2006-01-01,O,203
2006-01-02,A,100
2006-01-02,AB,33
2006-01-02,B,106
2006-01-02,O,146
2006-01-03,A,77
2006-01-03,AB,11
2006-01-03,B,70
2006-01-03,O,105
2006-01-04,A,64
2006-01-04,AB,30
2006-01-04,B,80
2006-01-04,O,139
2006-01-05,A,94
2006-01-05,AB,20
2006-01-05,B,102
2006-01-05,O,153
2006-01-06,A,92
2006-01-06,AB,20
2006-01-06,B,80
2006-01-06,O,445
2006-01-07,A,85
2006-01-07,AB,30
2006-01-07,B,79
2006-01-07,O,94
2006-01-08,A,100
2006-01-08,AB,32
2006-01-08,B,91
2006-01-08,O,148
2006-01-09,A,100
2006-01-09,AB,35
2006-01-09,B,91
2006-01-09,O,149
2006-01-10,A,75
2006-01-10,AB,28
2006-01-10,B,90
2006-01-10,O,133
2006-01-11,A,107
2006-01-11,AB,29
2006-01-11,B,82
2006-01-11,O,141
2006-01-12,A,94
2006-01-12,AB,25
2006-01-12,B,100
2006-01-12,O,137
2006-01-13,A,94
2006-01-13,AB,22
2006-01-13,B,122
2006-01-13,O,128
2006-01-14,A,93
2006-01-14,AB,26
2006-01-14,B,100
2006-01-14,O,138
2006-01-15,A,87
2006-01-15,AB,34
2006-01-15,B,96
2006-01-15,O,146
2006-01-16,A,97
2006-01-16,AB,33
2006-01-16,B,106
2006-01-16,O,165
2006-01-17,A,115
2006-01-17,AB,34
2006-01-17,B,129
2006-01-17,O,153
2006-01-18,A,123
2006-01-18,AB,35
2006-01-18,B,134
2006-01-18,O,178
2006-01-19,A,143
2006-01-19,AB,28
2006-01-19,B,169
2006-01-19,O,200
2006-01-20,A,132
2006-01-20,AB,23
2006-01-20,B,139
2006-01-20,O,205
2006-01-21,A,102
2006-01-21,AB,32
2006-01-21,B,124
2006-01-21,O,165
2006-01-22,A,100
2006-01-22,AB,29
2006-01-22,B,120
2006-01-22,O,156
2006-01-23,A,117
2006-01-23,AB,28
2006-01-23,B,124
2006-01-23,O,166
2006-01-24,A,129
2006-01-24,AB,34
2006-01-24,B,151
2006-01-24,O,172
2006-01-25,A,142
2006-01-25,AB,38
2006-01-25,B,146
2006-01-25,O,179
2006-01-26,A,148
2006-01-26,AB,33
2006-01-26,B,182
2006-01-26,O,187
2006-01-27,A,125
2006-01-27,AB,32
2006-01-27,B,146
2006-01-27,O,368
2006-01-28,A,115
2006-01-28,AB,30
2006-01-28,B,106
2006-01-28,O,176
2006-01-29,A,113
2006-01-29,AB,30
2006-01-29,B,132
2006-01-29,O,184
2006-01-30,A,115
2006-01-30,AB,24
2006-01-30,B,139
2006-01-30,O,170
2006-01-31,A,113
2006-01-31,AB,25
2006-01-31,B,112
2006-01-31,O,148
2006-02-01,A,126
2006-02-01,AB,26
2006-02-01,B,171
2006-02-01,O,154
2006-02-02,A,112
2006-02-02,AB,28
2006-02-02,B,125
2006-02-02,O,149
2006-02-03,A,111
2006-02-03,AB,29
2006-02-03,B,122
2006-02-03,O,191
2006-02-04,A,117
2006-02-04,AB,70
2006-02-04,B,119
2006-02-04,O,183
2006-02-05,A,96
2006-02-05,AB,24
2006-02-05,B,102
2006-02-05,O,151
2006-02-06,A,95
2006-02-06,AB,23
2006-02-06,B,139
2006-02-06,O,164
2006-02-07,A,114
