issue_id,request_id,unit_id,issue_date,exact_match
BI0000001,BR0009589,BU0011457,2006-04-16,Yes
BI0000002,BR0000014,BU0036892,2006-04-29,No
BI0000003,BR0009602,BU0037585,2006-05-03,Yes
BI0000004,BR0000026,BU0020851,2006-05-12,No
BI0000005,BR0000030,BU0023145,2006-05-16,Yes
BI0000006,BR0000031,BU0023722,2006-05-17,Yes
BI0000007,BR0000032,BU0016334,2006-05-18,Yes
BI0000008,BR0000035,BU0037617,2006-05-21,No
BI0000009,BR0000037,BU0017253,2006-05-23,No
BI0000010,BR0000043,BU0007610,2006-05-29,No
BI0000011,BR0000044,BU0034435,2006-05-30,Yes
BI0000012,BR0000045,BU0032607,2006-05-31,No
BI0000013,BR0000049,BU0008127,2006-06-04,No
BI0000014,BR0000050,BU0004769,2006-06-05,No
BI0000015,BR0000051,BU0009680,2006-06-06,No
BI0000016,BR0009628,BU0017939,2006-06-06,No
BI0000017,BR0000053,BU0016262,2006-06-08,Yes
BI0000018,BR0009630,BU0038503,2006-06-08,Yes
BI0000019,BR0000055,BU0013069,2006-06-10,Yes
BI0000020,BR0000056,BU0016465,2006-06-11,No
BI0000021,BR0020479,BU0026194,2006-06-13,Yes
BI0000022,BR0000060,BU0012727,2006-06-15,Yes
BI0000023,BR0009633,BU0025940,2006-06-22,No
BI0000024,BR0000068,BU0029555,2006-06-23,No
BI0000025,BR0020490,BU0007750,2006-06-24,Yes
BI0000026,BR0020491,BU0029662,2006-06-25,Yes
BI0000027,BR0009635,BU0005239,2006-06-25,Yes
BI0000028,BR0000070,BU0014761,2006-06-26,No
BI0000029,BR0009637,BU0039695,2006-06-27,Yes
BI0000030,BR0020499,BU0013776,2006-07-03,Yes
BI0000031,BR0020500,BU0008799,2006-07-04,Yes
BI0000032,BR0000079,BU0028213,2006-07-05,Yes
BI0000033,BR0000081,BU0018757,2006-07-07,Yes
BI0000034,BR0000082,BU0005277,2006-07-08,No
BI0000035,BR0000084,BU0013454,2006-07-10,Yes
BI0000036,BR0000085,BU0032378,2006-07-11,Yes
BI0000037,BR0009639,BU0032028,2006-07-11,Yes
