date,blood_group,opening_inventory,units_received,units_issued,units_discarded,closing_inventory
2006-01-01,A,1259,152,143,12,1256
2006-01-01,AB,302,40,38,4,300
2006-01-01,B,1367,139,145,8,1353
2006-01-01,O,2118,194,203,16,2093
2006-01-02,A,1256,53,100,8,1201
2006-01-02,AB,300,19,33,3,283
2006-01-02,B,1353,43,106,5,1285
2006-01-02,O,2093,112,146,17,2042
2006-01-03,A,1201,29,77,9,1144
2006-01-03,AB,283,6,11,2,276
2006-01-03,B,1285,21,70,9,1227
2006-01-03,O,2042,56,105,14,1979
2006-01-04,A,1144,92,64,4,1168
2006-01-04,AB,276,36,30,2,280
2006-01-04,B,1227,98,80,8,1237
2006-01-04,O,1979,165,139,14,1991
2006-01-05,A,1168,149,94,4,1219
2006-01-05,AB,280,42,20,4,298
2006-01-05,B,1237,198,102,8,1325
2006-01-05,O,1991,193,153,8,2023
2006-01-06,A,1219,94,92,9,1212
2006-01-06,AB,298,27,20,3,302
2006-01-06,B,1325,77,80,10,1312
2006-01-06,O,2023,126,445,13,1691
2006-01-07,A,1212,29,85,6,1150
2006-01-07,AB,302,13,30,1,284
2006-01-07,B,1312,28,79,6,1255
2006-01-07,O,1691,48,94,13,1632
2006-01-08,A,1150,218,100,8,1260
2006-01-08,AB,284,51,32,3,300
2006-01-08,B,1255,212,91,14,1362
2006-01-08,O,1632,314,148,14,1784
2006-01-09,A,1260,83,100,5,1238
2006-01-09,AB,300,17,35,0,282
2006-01-09,B,1362,97,91,7,1361
2006-01-09,O,1784,149,149,3,1781
2006-01-10,A,1238,1,75,7,1157
2006-01-10,AB,282,0,28,1,253
2006-01-10,B,1361,0,90,10,1261
2006-01-10,O,1781,1,133,16,1633
2006-01-11,A,1157,127,107,6,1171
2006-01-11,AB,253,30,29,0,254
2006-01-11,B,1261,111,82,8,1282
2006-01-11,O,1633,180,141,11,1661
2006-01-12,A,1171,211,94,9,1279
2006-01-12,AB,254,42,25,1,270
2006-01-12,B,1282,236,100,5,1413
2006-01-12,O,1661,316,137,11,1829
2006-01-13,A,1279,100,94,10,1275
2006-01-13,AB,270,39,22,5,282
2006-01-13,B,1413,108,122,10,1389
2006-01-13,O,1829,171,128,10,1862
2006-01-14,A,1275,73,93,8,1247
2006-01-14,AB,282,21,26,4,273
2006-01-14,B,1389,93,100,6,1376
2006-01-14,O,1862,128,138,8,1844
2006-01-15,A,1247,151,87,6,1305
2006-01-15,AB,273,34,34,3,270
2006-01-15,B,1376,142,96,13,1409
2006-01-15,O,1844,235,146,7,1926
2006-01-16,A,1305,158,97,6,1360
2006-01-16,AB,270,34,33,1,270
2006-01-16,B,1409,160,106,10,1453
2006-01-16,O,1926,232,165,7,1986
2006-01-17,A,1360,307,115,11,1541
2006-01-17,AB,270,78,34,0,314
2006-01-17,B,1453,327,129,13,1638
2006-01-17,O,1986,507,153,17,2323
2006-01-18,A,1541,217,123,9,1626
2006-01-18,AB,314,46,35,1,324
2006-01-18,B,1638,236,134,8,1732
2006-01-18,O,2323,363,178,17,2491
2006-01-19,A,1626,264,143,6,1741
2006-01-19,AB,324,58,28,5,349
2006-01-19,B,1732,260,169,12,1811
2006-01-19,O,2491,393,200,19,2665
2006-01-20,A,1741,170,132,13,1766
2006-01-20,AB,349,47,23,2,371
2006-01-20,B,1811,214,139,9,1877
2006-01-20,O,2665,273,205,11,2722
2006-01-21,A,1766,114,102,10,1768
2006-01-21,AB,371,39,32,1,377
2006-01-21,B,1877,130,124,14,1869
2006-01-21,O,2722,198,165,6,2749
2006-01-22,A,1768,90,100,8,1750
2006-01-22,AB,377,22,29,2,368
2006-01-22,B,1869,112,120,15,1846
2006-01-22,O,2749,173,156,19,2747
2006-01-23,A,1750,96,117,5,1724
2006-01-23,AB,368,30,28,2,368
2006-01-23,B,1846,107,124,10,1819
2006-01-23,O,2747,163,166,8,2736
2006-01-24,A,1724,257,129,9,1843
2006-01-24,AB,368,70,34,2,402
2006-01-24,B,1819,299,151,12,1955
2006-01-24,O,2736,428,172,22,2970
2006-01-25,A,1843,197,142,7,1891
2006-01-25,AB,402,49,38,2,411
2006-01-25,B,1955,217,146,11,2015
2006-01-25,O,2970,322,179,28,3085
2006-01-26,A,1891,318,148,17,2044
2006-01-26,AB,411,80,33,4,454
2006-01-26,B,2015,349,182,16,2166
2006-01-26,O,3085,449,187,25,3322
2006-01-27,A,2044,24,125,7,1936
2006-01-27,AB,454,4,32,7,419
2006-01-27,B,2166,31,146,19,2032
2006-01-27,O,3322,48,368,15,2987
