date,blood_group,forecast_units,horizon_day,model_used
2026-09-05,A,444.9,1,XGBoost
2026-09-06,A,653.0,2,XGBoost
2026-09-07,A,286.1,3,XGBoost
2026-09-08,A,346.4,4,XGBoost
2026-09-09,A,349.0,5,XGBoost
2026-09-10,A,375.5,6,XGBoost
2026-09-11,A,247.0,7,XGBoost
2026-09-12,A,472.2,8,XGBoost
2026-09-13,A,694.0,9,XGBoost
2026-09-14,A,281.7,10,XGBoost
2026-09-15,A,345.3,11,XGBoost
2026-09-16,A,372.0,12,XGBoost
2026-09-17,A,386.1,13,XGBoost
2026-09-18,A,250.8,14,XGBoost
2026-09-05,AB,75.2,1,GradientBoosting
2026-09-06,AB,132.3,2,GradientBoosting
2026-09-07,AB,55.4,3,GradientBoosting
2026-09-08,AB,74.4,4,GradientBoosting
2026-09-09,AB,76.1,5,GradientBoosting
2026-09-10,AB,76.3,6,GradientBoosting
2026-09-11,AB,56.0,7,GradientBoosting
2026-09-12,AB,92.4,8,GradientBoosting
2026-09-13,AB,146.1,9,GradientBoosting
2026-09-14,AB,66.6,10,GradientBoosting
2026-09-15,AB,82.8,11,GradientBoosting
2026-09-16,AB,86.0,12,GradientBoosting
2026-09-17,AB,86.4,13,GradientBoosting
2026-09-18,AB,61.9,14,GradientBoosting
2026-09-05,B,513.5,1,XGBoost
2026-09-06,B,724.5,2,XGBoost
2026-09-07,B,306.3,3,XGBoost
2026-09-08,B,401.0,4,XGBoost
2026-09-09,B,405.6,5,XGBoost
2026-09-10,B,428.3,6,XGBoost
2026-09-11,B,268.7,7,XGBoost
2026-09-12,B,510.6,8,XGBoost
2026-09-13,B,741.5,9,XGBoost
2026-09-14,B,306.1,10,XGBoost
2026-09-15,B,399.5,11,XGBoost
2026-09-16,B,423.9,12,XGBoost
2026-09-17,B,432.8,13,XGBoost
2026-09-18,B,265.6,14,XGBoost
2026-09-05,O,795.3,1,RandomForest
2026-09-06,O,1181.0,2,RandomForest
2026-09-07,O,445.3,3,RandomForest
2026-09-08,O,568.3,4,RandomForest
2026-09-09,O,606.2,5,RandomForest
2026-09-10,O,656.1,6,RandomForest
2026-09-11,O,416.5,7,RandomForest
2026-09-12,O,808.0,8,RandomForest
2026-09-13,O,1193.8,9,RandomForest
2026-09-14,O,435.3,10,RandomForest
2026-09-15,O,608.9,11,RandomForest
2026-09-16,O,636.1,12,RandomForest
2026-09-17,O,668.5,13,RandomForest
2026-09-18,O,428.0,14,RandomForest
